CCCLastUpdated,RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
11/13/2023,1,11/5/2018,Infused (edible),Each,2,60,0,0,2,60
11/13/2023,2,11/6/2018,Infused (edible),Each,2,57,0,0,2,57
11/13/2023,3,11/19/2018,Buds,Grams,0,0,0,0,0,0
11/13/2023,3,11/19/2018,Concentrate (Each),Each,0,0,0,0,0,0
11/13/2023,5,11/20/2018,Concentrate (Each),Each,3031,163585.03,0,0,3031,163585.03
11/13/2023,5,11/20/2018,Infused (edible),Each,3092,72192.26,0,0,3092,72192.26
11/13/2023,5,11/20/2018,Buds,Grams,0,0,15029.44,201773.4,15029.44,201773.4
11/13/2023,5,11/20/2018,Infused (non-edible),Each,70,2460.63,0,0,70,2460.63
11/13/2023,9,11/21/2018,Buds,Each,167,4558.16,0,0,167,4558.16
11/13/2023,9,11/21/2018,Infused (edible),Each,2258,60150.37,0,0,2258,60150.37
11/13/2023,9,11/21/2018,Infused (non-edible),Each,68,2699.75,0,0,68,2699.75
11/13/2023,9,11/21/2018,Concentrate (Each),Each,2900,161214.15,0,0,2900,161214.15
11/13/2023,9,11/21/2018,Buds,Grams,0,0,15552.37,212917.74,15552.37,212917.74
11/13/2023,14,11/23/2018,Concentrate (Each),Each,3757,210369.57,0,0,3757,210369.57
11/13/2023,14,11/23/2018,Buds,Each,218,6330.28,0,0,218,6330.28
11/13/2023,14,11/23/2018,Infused (edible),Each,2968,74571.59,0,0,2968,74571.59
11/13/2023,14,11/23/2018,Buds,Grams,0,0,12793.82,184501.16,12793.82,184501.16
11/13/2023,14,11/23/2018,Infused (non-edible),Each,108,3976,0,0,108,3976
11/13/2023,19,11/24/2018,Infused (non-edible),Each,94,3342,0,0,94,3342
11/13/2023,19,11/24/2018,Buds,Grams,0,0,11659.95,168598.46,11659.95,168598.46
11/13/2023,19,11/24/2018,Concentrate (Each),Each,3412,196641.42,0,0,3412,196641.42
11/13/2023,19,11/24/2018,Infused (edible),Each,2331,69821.73,0,0,2331,69821.73
11/13/2023,19,11/24/2018,Kief,Grams,0,0,561.8,2618.11,561.8,2618.11
11/13/2023,19,11/24/2018,Buds,Each,1941,26315.6,0,0,1941,26315.6
11/13/2023,25,11/25/2018,Concentrate (Each),Each,2628,149223.17,0,0,2628,149223.17
11/13/2023,25,11/25/2018,Infused (non-edible),Each,80,2331.98,0,0,80,2331.98
11/13/2023,25,11/25/2018,Infused (edible),Each,2436,62373.99,0,0,2436,62373.99
11/13/2023,25,11/25/2018,Buds,Each,901,19387.54,0,0,901,19387.54
11/13/2023,25,11/25/2018,Buds,Grams,0,0,10678.07,152471.61,10678.07,152471.61
11/13/2023,25,11/25/2018,Kief,Grams,0,0,392.2,1847.5,392.2,1847.5
11/13/2023,31,11/26/2018,Buds,Each,658,18225.56,0,0,658,18225.56
11/13/2023,31,11/26/2018,Infused (edible),Each,2014,52885.36,0,0,2014,52885.36
11/13/2023,31,11/26/2018,Infused (non-edible),Each,69,2348.51,0,0,69,2348.51
11/13/2023,31,11/26/2018,Concentrate (Each),Each,2322,137044.82,0,0,2322,137044.82
11/13/2023,31,11/26/2018,Kief,Grams,0,0,339.2,1600,339.2,1600
11/13/2023,31,11/26/2018,Buds,Grams,0,0,9713.43,138458.52,9713.43,138458.52
11/13/2023,37,11/27/2018,Buds,Each,465,13392.6,0,0,465,13392.6
11/13/2023,37,11/27/2018,Infused (non-edible),Each,56,1751.74,0,0,56,1751.74
